城市,年龄,是否第一次访问,电商平台,搜索产品数,是否购买
广州,38,1,TaoBao,12,0
深圳,29,1,TaoBao,11,0
深圳,37,1,JingDong,2,0
上海,32,1,SuNing,1,0
北京,33,1,JingDong,3,0
深圳,33,1,JingDong,18,0
深圳,29,0,JingDong,9,0
上海,24,1,JingDong,5,1
上海,29,0,TaoBao,10,0
上海,28,0,SuNing,3,1
北京,24,1,JingDong,4,0
上海,26,0,TaoBao,17,1
上海,30,1,TaoBao,21,1
上海,32,1,SuNing,4,0
广州,24,1,TaoBao,2,0
上海,32,1,SuNing,23,1
上海,16,0,TaoBao,8,1
上海,14,0,TaoBao,4,0
北京,43,0,TaoBao,8,1
上海,21,0,JingDong,5,0
上海,24,0,TaoBao,13,1
上海,27,0,SuNing,7,1
广州,23,1,TaoBao,6,0
上海,24,0,JingDong,16,1
广州,23,0,JingDong,4,1
上海,38,0,TaoBao,4,0
深圳,24,1,TaoBao,4,0
上海,33,0,TaoBao,4,1
上海,22,0,JingDong,7,1
上海,21,1,SuNing,14,1
上海,26,1,TaoBao,5,1
上海,20,0,SuNing,5,0
上海,26,1,TaoBao,7,1
上海,29,1,JingDong,14,0
上海,28,1,JingDong,5,1
北京,30,0,JingDong,1,0
上海,34,0,TaoBao,4,0
上海,21,1,TaoBao,1,1
深圳,19,1,TaoBao,3,0
上海,34,1,TaoBao,13,1
上海,30,0,JingDong,19,0
广州,24,1,SuNing,17,1
上海,22,1,TaoBao,3,0
上海,24,1,JingDong,3,1
广州,28,1,JingDong,5,0
上海,28,0,TaoBao,6,0
广州,28,0,JingDong,4,1
上海,22,1,SuNing,16,0
广州,31,0,SuNing,2,1
上海,27,1,TaoBao,14,1
上海,40,1,JingDong,17,0
深圳,47,1,TaoBao,19,0
上海,24,0,TaoBao,15,1
上海,20,1,JingDong,17,0
上海,18,0,TaoBao,5,0
上海,39,0,JingDong,5,0
广州,28,0,TaoBao,5,0
上海,18,0,TaoBao,24,0
上海,40,0,TaoBao,11,0
